정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1014,컨닝
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1017,소수 쌍
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1024,수열의 합
true,1026,보물
true,1037,약수
true,1038,감소하는 수
true,1057,토너먼트
true,1065,한수
true,1068,트리
true,1074,Z
true,1085,직사각형에서 탈출
true,1086,박성원
true,1094,막대기
true,1100,하얀 칸
true,1102,발전소
true,1107,리모컨
true,1110,더하기 사이클
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1187,숫자 놀이
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1219,오민식의 고민
true,1220,MEGACITY
true,1237,정ㅋ벅ㅋ
true,1260,DFS와 BFS
true,1289,트리의 가중치
true,1294,문자열 장식
true,1298,노트북의 주인을 찾아서
true,1300,K번째 수
true,1305,광고
true,1315,RPG
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1330,두 수 비교하기
true,1344,축구
true,1389,케빈 베이컨의 6단계 법칙
true,1413,박스 안의 열쇠
true,1427,소트인사이드
true,1431,시리얼 번호
true,1436,영화감독 숌
true,1463,1로 만들기
true,1475,방 번호
true,1504,특정한 최단 경로
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1546,평균
true,1547,공
true,1562,계단 수
true,1563,개근상
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1648,격자판 채우기
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1671,상어의 저녁식사
true,1676,팩토리얼 0의 개수
true,1693,트리 색칠하기
true,1697,숨바꼭질
true,1701,Cubeditor
true,1708,볼록 껍질
true,1712,손익분기점
true,1717,집합의 표현
true,1753,최단경로
true,1761,정점들의 거리
true,1766,문제집
true,1774,우주신과의 교감
true,1780,종이의 개수
true,1786,찾기
true,1850,최대공약수
true,1865,웜홀
true,1867,돌멩이 제거
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1914,하노이 탑
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1935,후위 표기식2
true,1949,우수 마을
true,1956,운동
true,1958,LCS 3
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1991,트리 순회
true,1992,쿼드트리
true,2004,조합 0의 개수
true,2011,암호코드
true,2042,구간 합 구하기
true,2066,카드놀이
true,2096,내려가기
true,2098,외판원 순회
true,2108,통계학
true,2110,공유기 설치
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2157,여행
true,2162,선분 그룹
true,2163,초콜릿 자르기
true,2164,카드2
true,2166,다각형의 면적
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2213,트리의 독립집합
true,2217,로프
true,2231,분해합
true,2243,사탕상자
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2258,정육점
true,2261,가장 가까운 두 점
true,2263,트리의 순회
true,2292,벌집
true,2293,동전 1
true,2309,일곱 난쟁이
true,2316,도시 왕복하기 2
true,2342,Dance Dance Revolution
true,2357,최솟값과 최댓값
true,2407,조합
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2449,전구
true,2455,지능형 기차
true,2470,두 용액
true,2473,세 용액
true,2482,색상환
true,2490,윷놀이
true,2504,괄호의 값
true,2512,예산
true,2523,별 찍기 - 13
true,2529,부등호
true,2533,사회망 서비스(SNS)
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2565,전깃줄
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2588,곱셈
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2618,경찰차
true,2630,색종이 만들기
true,2661,좋은수열
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2699,격자점 컨벡스헐
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2805,나무 자르기
true,2809,아스키 거리
true,2822,점수 계산
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2869,달팽이는 올라가고 싶다
true,2873,롤러코스터
true,2884,알람 시계
true,2887,행성 터널
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2920,음계
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2957,이진 탐색 트리
true,2960,에라토스테네스의 체
true,2963,무한 이진 트리 탐색
true,2965,캥거루 세마리
true,2981,검문
true,3009,네 번째 점
true,3036,링
true,3038,완전 이진 트리
true,3052,나머지
true,3053,택시 기하학
true,3163,떨어지는 개미
true,3176,도로 네트워크
true,3470,The Bulk
true,3584,가장 가까운 공통 조상
true,3640,제독
true,3648,아이돌
true,3653,영화 수집
true,3665,최종 순위
true,3679,단순 다각형
true,3878,점 분리
true,3907,정육면체 8퍼즐
true,3946,랜덤 걷기
true,3977,축구 전술
true,3980,선발 명단
true,4013,ATM
true,4149,큰 수 소인수분해
true,4153,직각삼각형
true,4195,친구 네트워크
true,4196,도미노
true,4243,보안 업체
true,4307,개미
true,4344,평균은 넘겠지
true,4354,문자열 제곱
true,4386,별자리 만들기
true,4673,셀프 넘버
true,4716,풍선
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,5022,연결
true,5052,전화번호 목록
true,5086,배수와 약수
true,5176,대회 자리
true,5427,불
true,5430,AC
true,5543,상근날드
true,5557,1학년
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5615,아파트 임대
true,5622,다이얼
true,5639,이진 검색 트리
true,5670,휴대폰 자판
true,6064,카잉 달력
true,6086,최대 유량
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6591,이항 쇼다운
true,6603,로또
true,6695,Mysterious Villa
true,7287,등록
true,7420,맹독 방벽
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7579,앱
true,8393,합
true,8958,OX퀴즈
true,8983,사냥꾼
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9095,"1, 2, 3 더하기"
true,9240,로버트 후드
true,9248,Suffix Array
true,9251,LCS
true,9252,LCS 2
true,9325,얼마?
true,9345,디지털 비디오 디스크(DVDs)
true,9370,미확인 도착지
true,9372,상근이의 여행
true,9375,패션왕 신해빈
true,9426,중앙값 측정
true,9461,파도반 수열
true,9498,시험 성적
true,9576,책 나눠주기
true,9577,토렌트
true,9655,돌 게임
true,9663,N-Queen
true,10039,평균 점수
true,10167,금광
true,10171,고양이
true,10172,개
true,10216,Count Circle Groups
true,10217,KCM Travel
true,10219,Meats On The Grill
true,10220,Self Representing Seq
true,10250,ACM 호텔
true,10253,헨리
true,10254,고속도로
true,10266,시계 사진들
true,10272,현상금 사냥꾼 김정은
true,10430,나머지
true,10451,순열 사이클
true,10713,기차 여행
true,10718,We love kriii
true,10757,큰 수 A+B
true,10773,제로
true,10775,공항
true,10797,10부제
true,10799,쇠막대기
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10827,a^b
true,10828,스택
true,10830,행렬 제곱
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10986,나머지 합
true,10989,수 정렬하기 3
true,10996,별 찍기 - 21
true,10998,A×B
true,11003,최솟값 찾기
true,11004,K번째 수
true,11014,컨닝 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11062,카드 게임
true,11066,파일 합치기
true,11277,2-SAT - 1
true,11278,2-SAT - 2
true,11279,최대 힙
true,11280,2-SAT - 3
true,11281,2-SAT - 4
true,11286,절댓값 힙
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11378,열혈강호 4
true,11399,ATM
true,11401,이항 계수 3
true,11403,경로 찾기
true,11404,플로이드
true,11408,열혈강호 5
true,11437,LCA
true,11438,LCA 2
true,11478,서로 다른 부분 문자열의 개수
true,11505,구간 곱 구하기
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11657,타임머신
true,11658,구간 합 구하기 3
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11689,"GCD(n, k) = 1"
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11723,집합
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,11778,피보나치 수와 최대공약수
true,11779,최소비용 구하기 2
true,11812,K진 트리
true,11866,요세푸스 문제 0
true,12015,가장 긴 증가하는 부분 수열 2
true,12179,Power Levels (Large)
true,12796,나의 행렬곱셈 답사기
true,12852,1로 만들기 2
true,12865,평범한 배낭
true,12899,데이터 구조
true,13241,최소공배수
true,13250,주사위 게임
true,13251,조약돌 꺼내기
true,13325,이진 트리
true,13344,Chess Tournament
true,13511,트리와 쿼리 2
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14425,문자열 집합
true,14501,퇴사
true,14503,로봇 청소기
true,14681,사분면 고르기
true,14725,개미굴
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15681,트리와 쿼리
true,15953,상금 헌터
true,16235,나무 재테크
true,16367,TV Show Game
true,16975,수열과 쿼리 21
true,17140,이차원 배열과 연산
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17298,오큰수
true,17386,선분 교차 1
true,17387,선분 교차 2
true,17404,RGB거리 2
true,17412,도시 왕복하기 1
true,17435,합성함수와 쿼리
true,18258,큐 2
false,2614,청개구리
false,7469,K번째 수
false,10531,Golf Bot
